"FifoPnlRealized","Buy/Sell","CurrencyPrimary","Symbol","TradeID","TradeDate","TransactionType","Exchange","Quantity","TradePrice","TradeMoney","Taxes","IBCommission","IBCommissionCurrency","NetCash","ClosePrice","IBOrderID","OrderTime","OrderType","TraderID","IBExecID"
"116.80","SELL","USD","AMZN","2000000000","20250901","ExchTrade","NASDAQ","-5","170.87","-854.35","-0.0385","-1.0000","USD","853.3115","159.22","3000000000","20250901;201326","LMT","TRADER3","MOCKEXEC00001"
"-82.44","BUY","USD","AMZN","2000000001","20250901","ExchTrade","NASDAQ","25","227.66","5691.50","-0.1604","-2.0285","USD","5689.3111","239.74","3000000001","20250901;065317","LMT","TRADER1","MOCKEXEC00002"
"-231.64","SELL","USD","NFLX","2000000002","20250901","ExchTrade","NASDAQ","-1","1324.95","-1324.95","-0.1400","-1.0000","USD","1323.8100","1318.49","3000000002","20250901;151505","LMT","TRADER3","MOCKEXEC00003"
"-152.27","SELL","USD","TSLA","2000000003","20250901","ExchTrade","NASDAQ","-20","226.13","-4522.60","-0.5085","-1.0000","USD","4521.0915","232.74","3000000003","20250901;182033","LMT","TRADER2","MOCKEXEC00004"
"205.20","SELL","USD","AVGO","2000000004","20250901","ExchTrade","NASDAQ","-20","1458.10","-29162.00","-2.0854","-1.4218","USD","29158.4928","1449.01","3000000004","20250901;140227","MKT","TRADER1","MOCKEXEC00005"
"262.07","BUY","USD","AMD","2000000005","20250901","ExchTrade","NASDAQ","2","204.93","409.86","-0.0258","-1.0000","USD","408.8342","193.56","3000000005","20250901;130850","LMT","TRADER3","MOCKEXEC00006"
"-48.90","BUY","USD","NVDA","2000000006","20250901","ExchTrade","NASDAQ","1","111.43","111.43","-0.0117","-1.0000","USD","110.4183","122.01","3000000006","20250901;045035","MKT","TRADER2","MOCKEXEC00007"
"228.97","BUY","USD","MSFT","2000000007","20250901","ExchTrade","NASDAQ","1","378.69","378.69","-0.0429","-1.0000","USD","377.6471","383.59","3000000007","20250901;171102","LMT","TRADER1","MOCKEXEC00008"
"503.03","BUY","USD","AAPL","2000000008","20250901","ExchTrade","NASDAQ","20","230.66","4613.20","-0.1354","-1.9816","USD","4611.0830","227.44","3000000008","20250901;191136","LMT","TRADER2","MOCKEXEC00009"
"110.23","SELL","USD","AMZN","2000000009","20250901","ExchTrade","NASDAQ","-5","160.30","-801.50","-0.0750","-1.0000","USD","800.4250","173.38","3000000009","20250901;063006","MKT","TRADER1","MOCKEXEC00010"
"-38.85","BUY","USD","NFLX","2000000010","20250901","ExchTrade","NASDAQ","2","678.93","1357.86","-0.0712","-1.0000","USD","1356.7888","681.96","3000000010","20250901;055338","MKT","TRADER3","MOCKEXEC00011"
"-305.44","SELL","USD","TSLA","2000000011","20250902","ExchTrade","NASDAQ","-1","300.59","-300.59","-0.0305","-1.0000","USD","299.5595","308.44","3000000011","20250902;063945","LMT","TRADER1","MOCKEXEC00012"
"-116.04","BUY","USD","META","2000000012","20250902","ExchTrade","NASDAQ","50","596.48","29824.00","-1.0573","-3.4874","USD","29819.4553","601.12","3000000012","20250902;050439","LMT","TRADER3","MOCKEXEC00013"
"31.93","BUY","USD","MSFT","2000000013","20250902","ExchTrade","NASDAQ","20","484.37","9687.40","-1.1451","-1.7789","USD","9684.4760","474.91","3000000013","20250902;040411","LMT","TRADER1","MOCKEXEC00014"
